hash,release,message,timestamp,author,change_type
48eac2320d66bca2b07d29f65b15636f4abadb50, (tag: 18.2.10),release: cut the v18.2.10 release,2024-10-30 19:03:32+00:00,Alex Rickabaugh,release
dcd16b43f31177a269317f7764ef38559b14fd66, (tag: 18.2.10),refactor(migrations): Make the explicit standalone migration idempotent (#58418),2024-10-29 22:04:20+00:00,Matthieu Riegler,refactor
3230d78c545de12bee74dd0527765b5d8e7d6a35, (tag: 18.2.10),refactor(core): introduce `ngServerMode` as global (#58386),2024-10-29 12:22:55+00:00,Alan Agius,refactor
616b411a6d94d3dbc3e072b91c1194466c0a1add, (tag: 18.2.10),fix(migrations): properly migrate output aliases (#58411),2024-10-29 14:59:01+00:00,Pawel Kozlowski,fix
69dce38e778cb4c15aa06347031765a84e3ac6a5, (tag: 18.2.10),Revert fix(compiler): transform pseudo selectors correctly for the encapsulated view. (#58417),2024-10-29 21:47:17+00:00,Matthieu Riegler,revert
d504452e2f193d3b494a0b2944cddb028c0a2231, (tag: 18.2.10),fix(migrations): properly replace imports across files (#58414),2024-10-29 17:07:01+00:00,Pawel Kozlowski,fix
ddef41e8976021b46616f13fc556fbfe19852b9e, (tag: 18.2.10),refactor(migrations): gracefully handle metadata parsing errors in signal migration (#58413),2024-10-29 16:42:25+00:00,Paul Gschwendtner,refactor
8709359a1f7ba03d8c4c533d629d3f8a23ebc08e, (tag: 18.2.10),refactor(migrations): improve temporary variable insertion in signal migrations (#58413),2024-10-29 16:03:21+00:00,Paul Gschwendtner,refactor
dbe612f2cd59adecdab3abb270b014c4b26e472c, (tag: 18.2.10),fix(compiler-cli): disable standalone by default on older versions of Angular (#58405),2024-10-29 12:49:42+00:00,Kristiyan Kostadinov,fix
3e50842593e754c00a5605ef07e4e77ff59f1026, (tag: 18.2.10),refactor(docs-infra): use reactive APIs in adev components (#58357),2024-10-25 11:38:59+00:00,Pawel Kozlowski,refactor
3d918de05f23b66a3831f21b57c325a32b4c75d7, (tag: 18.2.10),build: update scorecard action dependencies (#58400),2024-10-29 05:13:28+00:00,Angular Robot,build
a899623b51fc0eef3e8fe3b5ca4600a3c56af955, (tag: 18.2.10),refactor(core): move static `AfterRenderImpl.PHASES` to a top-level variable (#58402),2024-10-29 08:11:11+00:00,Alan Agius,refactor
7cb6adcb5051fd59e44cc1a94274a7de6e3fb808, (tag: 18.2.10),refactor(core): prevent unnecessary hydration work in csr cases (#58366),2024-10-25 18:30:16+00:00,Jessica Janiuk,refactor
fd7716440bec8f7ed042d79bafacf3048d45cd47, (tag: 18.2.10),fix(core): Prevents trying to trigger incremental hydration on CSR (#58366),2024-10-25 16:51:11+00:00,Jessica Janiuk,fix
98f54cb13486ef7b0cc7a3433c31334e9f33996f, (tag: 18.2.10),docs: update Angular CLI help [19.0.x] (#58395),2024-10-28 16:27:32+00:00,Angular Robot,docs
23531f249e88dec39ee503bf4f058052913282aa, (tag: 18.2.10),docs: remove an unnecessary whitespace (#58388),2024-10-27 17:40:53+00:00,george looshch,docs
c6a21cc7f9639269da6108229ecb0ae8c95c7b38, (tag: 18.2.10),docs: fix backtick escaping in a Markdown file (#58387),2024-10-27 18:49:04+00:00,george looshch,docs
df14cb6f8ef2b45c87e6e0ff7b244c0523839bb2, (tag: 18.2.10),docs: update ProfileEditorComponent to use inject() for FormBuilder (#58378),2024-10-26 15:27:00+00:00,Jeevan Mahesha,docs
f815d7b8c8c1979401a6629237b1e5c20146c1c5, (tag: 18.2.10),refactor(core): Additional cleanup for incremental hydration (#58394),2024-10-28 15:53:12+00:00,Jessica Janiuk,refactor
90c7ec39a06e5c14711e0a42e2d6a478cde2b9cc, (tag: 18.2.10),fix(migrations): inject migration always inserting generated variables before super call (#58393),2024-10-28 15:14:54+00:00,Kristiyan Kostadinov,fix
eafe9040a20fcf749dc2cb4c240fc2b69ccef666, (tag: 18.2.10),refactor(migrations): inject migration internal mode incorrectly migration properties initialized to identifiers (#58393),2024-10-28 14:21:26+00:00,Kristiyan Kostadinov,refactor
7a65cdd911cbbf22445c916fc754d3a3304bc5fe, (tag: 18.2.10),fix(migrations): inject migration not inserting generated code after super call in some cases (#58393),2024-10-28 14:01:43+00:00,Kristiyan Kostadinov,fix
1806fcce827b0f7e8eb3ad9be36d7757b38e48ab, (tag: 18.2.10),refactor(migrations): hoist uninitialized members to top of class if they are not combined in the internal migration (#58393),2024-10-28 13:32:48+00:00,Kristiyan Kostadinov,refactor
598c397c85c6e2c1b0b8277c61fe52864cb1ac04, (tag: 18.2.10),refactor(core): account for anonymous classes in internal utility (#58392),2024-10-28 15:21:24+00:00,Kristiyan Kostadinov,refactor
98804fd4beb6292f5a50ce728424fdb33c47f654, (tag: 18.2.10),fix(compiler): add more specific matcher for hydrate never block (#58360),2024-10-25 14:18:38+00:00,Brandon Roberts,fix
ad3fbe6d97aa3d212ad6f73e176e8776499f7060, (tag: 18.2.10),refactor(core): remove globalApi tag (#58375),2024-10-26 07:07:04+00:00,Kristiyan Kostadinov,refactor
2de53144007cd6e35d49eff48fa498ee1f2a2e0c, (tag: 18.2.10),build: update actions/checkout digest to 11bd719 (#58329),2024-10-23 16:12:14+00:00,Angular Robot,build
c0d606195c087692221dd501bd1c2bed6c295ca4, (tag: 18.2.10),docs: fix errata in provideEnvironmentInitializer API docs (#58355),2024-10-25 10:29:12+00:00,David LJ,docs
1efc4bb9e64bea471ccc1205a1005a3f1e56efad, (tag: 18.2.10),test: update defer symbol test golden file (#58297),2024-10-25 06:59:00+00:00,Alan Agius,test
2d3a689660c1af5d7ecce33ea0bd72a04eee748a, (tag: 18.2.10),refactor(core): eliminate top-level property access in `╔╡╔╡NgOnChangesFeature` (#58297),2024-10-22 08:56:51+00:00,Alan Agius,refactor
cf7f8c7c037f0496cf7581a07eaa77e4c7349d39, (tag: 18.2.10),refactor(core): make AfterRenderImpl tree-shakable by moving PHASES (#58297),2024-10-22 08:52:33+00:00,Alan Agius,refactor
7dfb127c03bad4b4cd6f3f8ab6c6fdd48b10e61b, (tag: 18.2.10),refactor: add `@__PURE__` next to `@pureOrBreakMyCode` for improved bundler compatibility (#58297),2024-10-22 08:03:24+00:00,Alan Agius,refactor
93c3f7a931a20a12fa6f8336bcf78343fb178b76, (tag: 18.2.10),build: remove usages of `useDefineForClassFields: false` (#58297),2024-10-22 07:03:51+00:00,Alan Agius,build
395cb34599e7f1347a034f4c6d8eabaa9afb15ec, (tag: 18.2.10),refactor(core): cleanup incremental hydration code (#58363),2024-10-25 14:42:36+00:00,Jessica Janiuk,refactor
00b79f8157ee6ccb2dde67b5a6a595c01f15bc14, (tag: 18.2.10),test: support parallel tsurge unit combining in batch test infra (#58280),2024-10-20 21:00:48+00:00,Paul Gschwendtner,test
50e99b66e590d60fac45f1b9dbc28e07ae355b02, (tag: 18.2.10),refactor(migrations): update migrations to combine analysis data in parallel (#58280),2024-10-20 08:15:28+00:00,Paul Gschwendtner,refactor
0b2f18ff254b97c39888d6a9c387c8317d5939d5, (tag: 18.2.10),refactor(migrations): support parallel tsurge metadata merging (#58280),2024-10-20 07:35:06+00:00,Paul Gschwendtner,refactor
77fa588025b4dbcfce94b5de9cab5d1b75a09ad8, (tag: 18.2.10),ci: disable adev tests (#58367),2024-10-25 17:07:54+00:00,Matthieu Riegler,ci
d7283bf740840dcaea0ca75bc08319fbf1cd7113, (tag: 18.2.10),refactor(core): allow passing passive option to addEvent (#58316),2024-10-22 23:02:55+00:00,Yong Su,refactor
f34268161b7e002b32b3bd31c1445119d036b00f, (tag: 18.2.10),refactor(core): allow passing passive option to addEvent (#58316),2024-10-22 21:39:09+00:00,Yong Su,refactor
9c4bcb16ca7ece5d7b46e59d6bb658b720d398c6, (tag: 18.2.10),docs(docs-infra): re-enable adev tests (#58276),2024-10-19 17:20:50+00:00,Matthieu Riegler,docs
0730d9d748a8b82f5a3e071e8756afbdd22901a1, (tag: 18.2.10),fix(localize): Adding  arb format to the list of valid formats in the localization extractor cli (#58287),2024-10-21 17:38:59+00:00,Daniel Payet,fix
a49c35ec769461b9eb490719f0aa3e5aea8e243f, (tag: 18.2.10),fix(router): remove setter for `injector` on `OutletContext` (#58343),2024-10-24 14:03:41+00:00,Joey Perrott,fix
917e99db42d4ae3a5f8063ca4421ed842d2bd7ef, (tag: 18.2.10),docs(platform-browser): update usage notes for incremental hydration (#58339),2024-10-24 03:05:04+00:00,Brandon Roberts,docs
da9c0c504435ed46d3c5cef1a8f1793602eabb26, (tag: 18.2.10),refactor: cleanup initializers that use ctor params (#58349),2024-10-24 23:12:14+00:00,Alex Rickabaugh,refactor
